method,corruption,severity,seed,accuracy,error_rate,n_samples,timestamp
bn_adapt,gaussian_noise,1,,88.38,11.62,10000,2026-09-01T09:34:19.238303+00:00
bn_adapt,gaussian_noise,3,,78.5,21.5,10000,2026-09-01T09:35:09.684170+00:00
bn_adapt,gaussian_noise,5,,71.01,28.99,10000,2026-09-01T09:35:48.362718+00:00
bn_adapt,defocus_blur,1,,91.32,8.68,10000,2026-09-01T09:36:10.088618+00:00
bn_adapt,defocus_blur,3,,90.19,9.81,10000,2026-09-01T09:36:36.930958+00:00
bn_adapt,defocus_blur,5,,85.64,14.36,10000,2026-09-01T09:37:25.022199+00:00
bn_adapt,snow,1,,87.12,12.88,10000,2026-09-01T09:38:14.181772+00:00
bn_adapt,snow,3,,82.96,17.04,10000,2026-09-01T09:39:01.163756+00:00
bn_adapt,gaussian_noise,1,,88.38,11.62,10000,2026-09-01T09:51:48.283429+00:00
bn_adapt,gaussian_noise,3,,78.5,21.5,10000,2026-09-01T09:52:10.952035+00:00
bn_adapt,gaussian_noise,5,,71.01,28.99,10000,2026-09-01T09:52:37.575212+00:00
bn_adapt,defocus_blur,1,,91.32,8.68,10000,2026-09-01T09:53:03.595736+00:00
bn_adapt,defocus_blur,3,,90.19,9.81,10000,2026-09-01T09:53:28.670811+00:00
bn_adapt,defocus_blur,5,,85.64,14.36,10000,2026-09-01T09:53:53.546088+00:00
bn_adapt,snow,1,,87.12,12.88,10000,2026-09-01T09:54:19.384697+00:00
bn_adapt,snow,3,,82.96,17.04,10000,2026-09-01T09:54:45.193061+00:00
bn_adapt,snow,5,,82.4,17.6,10000,2026-09-01T09:55:10.649426+00:00
bn_adapt,brightness,1,,91.61,8.39,10000,2026-09-01T09:55:42.714349+00:00
bn_adapt,brightness,3,,91.16,8.84,10000,2026-09-01T09:56:19.219686+00:00
bn_adapt,brightness,5,,89.55,10.45,10000,2026-09-01T09:56:55.236980+00:00
bn_adapt,contrast,1,,91.03,8.97,10000,2026-09-01T09:57:30.132680+00:00
bn_adapt,contrast,3,,88.66,11.34,10000,2026-09-01T09:58:05.166726+00:00
bn_adapt,contrast,5,,81.19,18.81,10000,2026-09-01T09:58:40.225641+00:00
bn_adapt,jpeg_compression,1,,87.9,12.1,10000,2026-09-01T09:59:15.427582+00:00
bn_adapt,jpeg_compression,3,,82.91,17.09,10000,2026-09-01T09:59:50.409800+00:00
bn_adapt,jpeg_compression,5,,79.12,20.88,10000,2026-09-01T10:00:25.056309+00:00
