method,corruption,severity,seed,r_source,r_adapted,r_hrec,delta_r_tta,delta_r_rec,rho,note
bn_adapt,gaussian_noise,1,0,14.26,10.94,85.94,3.32,-71.68,22.5734,
tent,gaussian_noise,1,0,14.26,10.94,85.94,3.32,-71.68,22.5734,
bn_adapt,gaussian_noise,1,1,14.26,10.94,85.94,3.32,-71.68,22.5734,
tent,gaussian_noise,1,1,14.26,10.94,85.94,3.32,-71.68,22.5734,
bn_adapt,gaussian_noise,1,2,14.26,10.94,85.94,3.32,-71.68,22.5734,
tent,gaussian_noise,1,2,14.26,10.94,85.94,3.32,-71.68,22.5734,
bn_adapt,gaussian_noise,3,0,47.14,20.31,52.73,26.83,-5.59,1.2085,
tent,gaussian_noise,3,0,47.14,20.31,52.73,26.83,-5.59,1.2085,
bn_adapt,gaussian_noise,3,1,47.14,20.31,52.73,26.83,-5.59,1.2085,
tent,gaussian_noise,3,1,47.14,20.31,52.73,26.83,-5.59,1.2085,
bn_adapt,gaussian_noise,3,2,47.14,20.31,52.73,26.83,-5.59,1.2085,
tent,gaussian_noise,3,2,47.14,20.31,52.73,26.83,-5.59,1.2085,
bn_adapt,gaussian_noise,5,0,63.13,30.47,35.55,32.66,27.58,0.1555,
tent,gaussian_noise,5,0,63.13,30.47,35.55,32.66,27.58,0.1555,
bn_adapt,gaussian_noise,5,1,63.13,30.47,35.55,32.66,27.58,0.1555,
tent,gaussian_noise,5,1,63.13,30.47,35.55,32.66,27.58,0.1555,
bn_adapt,gaussian_noise,5,2,63.13,30.47,35.55,32.66,27.58,0.1555,
tent,gaussian_noise,5,2,63.13,30.47,35.55,32.66,27.58,0.1555,
bn_adapt,contrast,1,0,8.02,8.2,90.23,-0.18,-82.21,-447.9522,
tent,contrast,1,0,8.02,8.2,90.23,-0.18,-82.21,-447.9522,
bn_adapt,contrast,1,1,8.02,8.2,90.23,-0.18,-82.21,-447.9522,
tent,contrast,1,1,8.02,8.2,90.23,-0.18,-82.21,-447.9522,
bn_adapt,contrast,1,2,8.02,8.2,90.23,-0.18,-82.21,-447.9522,
tent,contrast,1,2,8.02,8.2,90.23,-0.18,-82.21,-447.9522,
bn_adapt,contrast,3,0,20.84,10.94,75.78,9.9,-54.94,6.5482,
tent,contrast,3,0,20.84,10.94,75.78,9.9,-54.94,6.5482,
bn_adapt,contrast,3,1,20.84,10.94,75.78,9.9,-54.94,6.5482,
tent,contrast,3,1,20.84,10.94,75.78,9.9,-54.94,6.5482,
bn_adapt,contrast,3,2,20.84,10.94,75.78,9.9,-54.94,6.5482,
tent,contrast,3,2,20.84,10.94,75.78,9.9,-54.94,6.5482,
bn_adapt,contrast,5,0,80.23,22.66,22.27,57.57,57.96,-0.0068,
tent,contrast,5,0,80.23,22.66,22.27,57.57,57.96,-0.0068,
bn_adapt,contrast,5,1,80.23,22.66,22.27,57.57,57.96,-0.0068,
tent,contrast,5,1,80.23,22.66,22.27,57.57,57.96,-0.0068,
bn_adapt,contrast,5,2,80.23,22.66,22.27,57.57,57.96,-0.0068,
tent,contrast,5,2,80.23,22.66,22.27,57.57,57.96,-0.0068,
