corruption,severity,seed,r_source,r_tent,r_hrec,delta_r_tta,delta_r_rec,rho,note
gaussian_noise,1,0,14.26,10.94,85.94,3.32,-71.68,22.5734,
gaussian_noise,1,1,14.26,10.94,85.94,3.32,-71.68,22.5734,
gaussian_noise,1,2,14.26,10.94,85.94,3.32,-71.68,22.5734,
gaussian_noise,3,0,47.14,20.31,52.73,26.83,-5.59,1.2085,
gaussian_noise,3,1,47.14,20.31,52.73,26.83,-5.59,1.2085,
gaussian_noise,3,2,47.14,20.31,52.73,26.83,-5.59,1.2085,
gaussian_noise,5,0,63.13,30.47,35.55,32.66,27.58,0.1555,
gaussian_noise,5,1,63.13,30.47,35.55,32.66,27.58,0.1555,
gaussian_noise,5,2,63.13,30.47,35.55,32.66,27.58,0.1555,
defocus_blur,1,0,7.43,8.2,91.02,-0.77,-83.59,-107.114,
defocus_blur,1,1,7.43,8.2,91.02,-0.77,-83.59,-107.114,
defocus_blur,1,2,7.43,8.2,91.02,-0.77,-83.59,-107.114,
defocus_blur,3,0,12.14,10.16,86.33,1.98,-74.19,38.3979,
defocus_blur,3,1,12.14,10.16,86.33,1.98,-74.19,38.3979,
defocus_blur,3,2,12.14,10.16,86.33,1.98,-74.19,38.3979,
defocus_blur,5,0,34.59,13.67,62.89,20.92,-28.3,2.3529,
defocus_blur,5,1,34.59,13.67,62.89,20.92,-28.3,2.3529,
defocus_blur,5,2,34.59,13.67,62.89,20.92,-28.3,2.3529,
snow,1,0,11.57,13.28,87.89,-1.71,-76.32,-43.5993,
snow,1,1,11.57,13.28,87.89,-1.71,-76.32,-43.5993,
snow,1,2,11.57,13.28,87.89,-1.71,-76.32,-43.5993,
snow,3,0,16.82,16.8,84.38,0.02,-67.56,2922.2973,
snow,3,1,16.82,16.8,84.38,0.02,-67.56,2922.2973,
snow,3,2,16.82,16.8,84.38,0.02,-67.56,2922.2973,
snow,5,0,20.01,14.06,80.08,5.95,-60.07,11.0997,
snow,5,1,20.01,14.06,80.08,5.95,-60.07,11.0997,
snow,5,2,20.01,14.06,80.08,5.95,-60.07,11.0997,
brightness,1,0,7.23,7.81,91.41,-0.58,-84.18,-143.5086,
brightness,1,1,7.23,7.81,91.41,-0.58,-84.18,-143.5086,
brightness,1,2,7.23,7.81,91.41,-0.58,-84.18,-143.5086,
brightness,3,0,8.41,8.59,91.02,-0.18,-82.61,-448.5544,
brightness,3,1,8.41,8.59,91.02,-0.18,-82.61,-448.5544,
brightness,3,2,8.41,8.59,91.02,-0.18,-82.61,-448.5544,
brightness,5,0,12.02,11.33,87.89,0.69,-75.87,110.6594,
brightness,5,1,12.02,11.33,87.89,0.69,-75.87,110.6594,
brightness,5,2,12.02,11.33,87.89,0.69,-75.87,110.6594,
contrast,1,0,8.02,8.2,90.23,-0.18,-82.21,-447.9522,
contrast,1,1,8.02,8.2,90.23,-0.18,-82.21,-447.9522,
contrast,1,2,8.02,8.2,90.23,-0.18,-82.21,-447.9522,
contrast,3,0,20.84,10.94,75.78,9.9,-54.94,6.5482,
contrast,3,1,20.84,10.94,75.78,9.9,-54.94,6.5482,
contrast,3,2,20.84,10.94,75.78,9.9,-54.94,6.5482,
contrast,5,0,80.23,22.66,22.27,57.57,57.96,-0.0068,
contrast,5,1,80.23,22.66,22.27,57.57,57.96,-0.0068,
contrast,5,2,80.23,22.66,22.27,57.57,57.96,-0.0068,
jpeg_compression,1,0,10.89,12.11,88.67,-1.22,-77.78,-62.7883,
jpeg_compression,1,1,10.89,12.11,88.67,-1.22,-77.78,-62.7883,
jpeg_compression,1,2,10.89,12.11,88.67,-1.22,-77.78,-62.7883,
jpeg_compression,3,0,15.17,14.84,84.77,0.33,-69.6,214.3199,
jpeg_compression,3,1,15.17,14.84,84.77,0.33,-69.6,214.3199,
jpeg_compression,3,2,15.17,14.84,84.77,0.33,-69.6,214.3199,
jpeg_compression,5,0,19.48,23.44,81.25,-3.96,-61.77,-14.6083,
jpeg_compression,5,1,19.48,23.44,81.25,-3.96,-61.77,-14.6083,
jpeg_compression,5,2,19.48,23.44,81.25,-3.96,-61.77,-14.6083,
