method,corruption,severity,seed,accuracy,error_rate,n_samples,timestamp
tent,gaussian_noise,1,,88.22,11.78,10000,2026-09-05T02:46:24.898088+00:00
tent,gaussian_noise,3,,80.83,19.17,10000,2026-09-05T02:47:10.293024+00:00
tent,gaussian_noise,5,,73.42,26.58,10000,2026-09-05T02:47:56.303850+00:00
tent,defocus_blur,1,,90.83,9.17,10000,2026-09-05T02:48:38.932351+00:00
tent,defocus_blur,3,,89.54,10.46,10000,2026-09-05T02:49:17.598685+00:00
tent,defocus_blur,5,,85.39,14.61,10000,2026-09-05T02:49:56.088657+00:00
tent,snow,1,,86.25,13.75,10000,2026-09-05T02:50:34.787258+00:00
tent,snow,3,,82.57,17.43,10000,2026-09-05T02:51:11.644165+00:00
tent,snow,5,,82.6,17.4,10000,2026-09-05T02:51:49.373098+00:00
tent,brightness,1,,90.98,9.02,10000,2026-09-05T02:52:28.317727+00:00
tent,brightness,3,,90.54,9.46,10000,2026-09-05T02:53:14.882859+00:00
tent,brightness,5,,88.8,11.2,10000,2026-09-05T02:53:59.126554+00:00
tent,contrast,1,,90.77,9.23,10000,2026-09-05T02:54:40.146834+00:00
tent,contrast,3,,88.97,11.03,10000,2026-09-05T02:55:17.360439+00:00
tent,contrast,5,,81.41,18.59,10000,2026-09-05T02:55:56.305905+00:00
tent,jpeg_compression,1,,86.95,13.05,10000,2026-09-05T02:56:36.560897+00:00
tent,jpeg_compression,3,,82.81,17.19,10000,2026-09-05T02:57:20+00:00
tent,jpeg_compression,5,,78.69,21.31,10000,2026-09-05T02:58:06.929387+00:00
